COUNTRY,PORT,"COORDS (long, lat)",SHIPS
ARGENTINA,PUETRO ROSALES,"-62.070503, -38.924",1
ARGENTINA,BAHIA BLANCA ANCH,"-61.54644, -39.287971",1
BRUNEI,MUARA,"115.07613, 5.022632",2
CHINA,HUIZHOU ANCH,"114.67838, 22.676748",1
CHINA,LIANYUNGANG,"119.56657, 34.79039",1
CHINA,QINGDAO,"120.32008, 36.05661",2
ALGERIA,ARZEW,"-0.2675, 35.838501",1
UK,SOUTHWOLD ANCH,"1.929193, 52.278908",1
JAPAN,SAKAI,"135.41357, 34.532719",1
JAPAN,ANEGASAKI,"140.02209, 35.491974",1
KOREA,YEOSU,"127.67079, 34.740623",6
KOREA,DAESAN,"126.3826, 37.015301",1
KOREA,ULSAN,"129.38275, 35.511063",5
KOREA,ONSAN,"129.36333, 35.437519",1
MALAYSIA,PENGERANG,"104.1722, 1.32957",3
MALAYSIA,MIRI,"113.98367, 4.410943",1
MALAYSIA,BRUNEI BAY,"115.40984, 5.139155",1
MALAYSIA,PORT KLANG,"101.35875, 2.9841",1
MALAYSIA,TANJUNG LANGSAT,"104.01044, 1.441632",1
MALAYSIA,TANJUNG PELEPAS,"103.541, 1.3855",1
MALAYSIA,SUNGAI UDANG,"102.12788, 2.245725",1
SINGAPORE,SINGAPORE,"103.75445, 1.259366",12
LOME ANCH,TOGO,"1.273041, 6.015596",1
TAIWAN,MAILIAO,"120.18581, 23.788485",1
US,CHERRY POINT,"-122.75462, 48.863365",3
US,HOUSTON,"-95.270042, 29.727787",1
US,CORPUS CHRISTI,"-97.467926, 27.827538",1
US,RESERVE,"-90.555984, 30.052307",1
US,NEW ORLEANS,"-90.145889, 29.956688",3
US,PORT ARTHUR,"-93.931686, 29.8778",1
NETHERLANDS,IJMUIDEN,"4.583818, 52.461418",1
